,subj,trial,block,sex,age,date,stim,stim_order,filter,filter_freq,filter_gain,response,rt,session
152,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,2,293,9.1289672203029,False,0.861,1
153,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,3,406,-11.016055681705392,False,0.861,1
154,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,4,533,6.131649180773111,False,0.861,1
155,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,5,673,0.9670396121002433,False,0.861,1
156,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,6,830,-2.458305287216674,False,0.861,1
157,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,7,1004,-6.418842631179702,False,0.861,1
158,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,8,1199,7.748693242016138,False,0.861,1
159,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,9,1416,4.442893483733781,False,0.861,1
160,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,10,1657,10.803392711559887,False,0.861,1
161,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,11,1926,5.78755280083438,False,0.861,1
162,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,12,2226,-4.460643695221995,False,0.861,1
163,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,13,2560,-1.9513679847990468,False,0.861,1
164,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,14,2932,3.9060904661133033,False,0.861,1
165,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,15,3346,-4.593520987960313,False,0.861,1
166,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,16,3808,-3.026577315470181,False,0.861,1
167,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,17,4322,4.93457116643559,False,0.861,1
168,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,18,4895,-4.925915051005316,False,0.861,1
169,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,19,5534,0.2699450289958092,False,0.861,1
170,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,20,6245,4.695021821131952,False,0.861,1
171,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,21,7037,-5.028108511315833,False,0.861,1
172,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,22,7920,1.7819851391950683,False,0.861,1
173,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,23,8904,-5.684238998479612,False,0.861,1
174,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial100_0.wav,0,24,10000,0.05003121001761762,False,0.861,1
175,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,0,100,-11.159043670501942,True,0.861,1
176,1,3,1,f,47,2021-01-11 14:41:51.030120,Sub1_Trial236_0.wav,1,1,191,-4.513632994667781,True,0.861,1
